dataset,feature_set,balancing,classifier,fold,accuracy,precision,recall,f1,auc,mcc
ant-1.3,POST_TFIDF,BLSMOTE,SVM_RBF,5,0.76,0.4,1.0,0.5714285714285714,0.7976190476190477,0.5345224838248488
ant-1.3,POST_TFIDF,BLSMOTE,GB,1,0.88,0.6,0.75,0.6666666666666666,0.8333333333333334,0.600099198148979
ant-1.3,POST_TFIDF,BLSMOTE,GB,2,0.84,0.5,0.25,0.3333333333333333,0.7023809523809524,0.27348301713730944
ant-1.3,POST_TFIDF,BLSMOTE,GB,3,0.88,1.0,0.25,0.4,0.5357142857142858,0.46770717334674267
ant-1.3,POST_TFIDF,BLSMOTE,GB,4,0.8,0.4,0.5,0.4444444444444444,0.8928571428571429,0.3273268353539886
ant-1.3,POST_TFIDF,BLSMOTE,GB,5,0.84,0.5,0.75,0.6,0.7857142857142858,0.521168438562221
ant-1.3,RISK_FEATURES,NONE,LR,1,0.84,0.0,0.0,0.0,0.9107142857142857,0.0
ant-1.3,RISK_FEATURES,NONE,LR,2,0.84,0.0,0.0,0.0,0.7976190476190477,0.0
ant-1.3,RISK_FEATURES,NONE,LR,3,0.84,0.0,0.0,0.0,0.5714285714285714,0.0
ant-1.3,RISK_FEATURES,NONE,LR,4,0.84,0.0,0.0,0.0,0.7797619047619048,0.0
ant-1.3,RISK_FEATURES,NONE,LR,5,0.84,0.0,0.0,0.0,0.8154761904761905,0.0
ant-1.3,RISK_FEATURES,NONE,RF,1,0.84,0.0,0.0,0.0,0.9285714285714286,0.0
ant-1.3,RISK_FEATURES,NONE,RF,2,0.84,0.0,0.0,0.0,0.6666666666666666,0.0
ant-1.3,RISK_FEATURES,NONE,RF,3,0.84,0.0,0.0,0.0,0.7261904761904763,0.0
ant-1.3,RISK_FEATURES,NONE,RF,4,0.8,0.0,0.0,0.0,0.8035714285714286,-0.0890870806374748
ant-1.3,RISK_FEATURES,NONE,RF,5,0.84,0.0,0.0,0.0,0.8273809523809523,0.0
ant-1.3,RISK_FEATURES,NONE,ET,1,0.84,0.0,0.0,0.0,0.9285714285714286,0.0
ant-1.3,RISK_FEATURES,NONE,ET,2,0.84,0.0,0.0,0.0,0.5833333333333333,0.0
ant-1.3,RISK_FEATURES,NONE,ET,3,0.84,0.0,0.0,0.0,0.7321428571428572,0.0
ant-1.3,RISK_FEATURES,NONE,ET,4,0.84,0.0,0.0,0.0,0.8035714285714286,0.0
ant-1.3,RISK_FEATURES,NONE,ET,5,0.84,0.0,0.0,0.0,0.8333333333333333,0.0
ant-1.3,RISK_FEATURES,NONE,SVM_RBF,1,0.84,0.0,0.0,0.0,0.2916666666666667,0.0
ant-1.3,RISK_FEATURES,NONE,SVM_RBF,2,0.84,0.0,0.0,0.0,0.2619047619047619,0.0
ant-1.3,RISK_FEATURES,NONE,SVM_RBF,3,0.84,0.0,0.0,0.0,0.2857142857142857,0.0
ant-1.3,RISK_FEATURES,NONE,SVM_RBF,4,0.84,0.0,0.0,0.0,0.6845238095238095,0.0
ant-1.3,RISK_FEATURES,NONE,SVM_RBF,5,0.84,0.0,0.0,0.0,0.8035714285714286,0.0
ant-1.3,RISK_FEATURES,NONE,GB,1,0.84,0.0,0.0,0.0,0.9285714285714286,0.0
ant-1.3,RISK_FEATURES,NONE,GB,2,0.84,0.0,0.0,0.0,0.75,0.0
ant-1.3,RISK_FEATURES,NONE,GB,3,0.84,0.0,0.0,0.0,0.738095238095238,0.0
ant-1.3,RISK_FEATURES,NONE,GB,4,0.84,0.0,0.0,0.0,0.8035714285714286,0.0
ant-1.3,RISK_FEATURES,NONE,GB,5,0.84,0.5,0.25,0.3333333333333333,0.8392857142857143,0.27348301713730944
ant-1.3,RISK_FEATURES,SMOTE,LR,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9464285714285715,0.6998542122237652
ant-1.3,RISK_FEATURES,SMOTE,LR,2,0.84,0.5,0.75,0.6,0.8095238095238095,0.521168438562221
ant-1.3,RISK_FEATURES,SMOTE,LR,3,0.8,0.4,0.5,0.4444444444444444,0.6071428571428571,0.3273268353539886
ant-1.3,RISK_FEATURES,SMOTE,LR,4,0.68,0.3333333333333333,1.0,0.5,0.7916666666666667,0.45425676257949793
ant-1.3,RISK_FEATURES,SMOTE,LR,5,0.64,0.3076923076923077,1.0,0.47058823529411764,0.8154761904761905,0.4193139346887673
